street address,town,zip,road side,private side
707 DOWNING STREET,Niskayuna,12309,Copper,Copper
710 DOWNING STREET,Niskayuna,12309,Copper,Copper
711 DOWNING STREET,Niskayuna,12309,Copper,Copper
714 DOWNING STREET,Niskayuna,12309,Copper,Copper
715 DOWNING STREET,Niskayuna,12309,Copper,Copper
718 DOWNING STREET,Niskayuna,12309,Copper,Copper
722 DOWNING STREET,Niskayuna,12309,Copper,Copper
726 DOWNING STREET,Niskayuna,12309,Copper,Copper
730 DOWNING STREET,Niskayuna,12309,Copper,Copper
734 DOWNING STREET,Niskayuna,12309,Copper,Copper
735 DOWNING STREET,Niskayuna,12309,Copper,Copper
738 DOWNING STREET,Niskayuna,12309,Copper,Copper
739 DOWNING STREET,Niskayuna,12309,Copper,Copper
742 DOWNING STREET,Niskayuna,12309,Copper,Copper
743 DOWNING STREET,Niskayuna,12309,Copper,Copper
746 DOWNING STREET,Niskayuna,12309,Copper,Copper
747 DOWNING STREET,Niskayuna,12309,Copper,Copper
750 DOWNING STREET,Niskayuna,12309,Copper,Copper
751 DOWNING STREET,Niskayuna,12309,Copper,Copper
755 DOWNING STREET,Niskayuna,12309,Copper,Copper
759 DOWNING STREET,Niskayuna,12309,Copper,Copper
762 DOWNING STREET,Niskayuna,12309,Copper,Copper
763 DOWNING STREET,Niskayuna,12309,Copper,Copper
766 DOWNING STREET,Niskayuna,12309,Copper,Copper
767 DOWNING STREET,Niskayuna,12309,Copper,Copper
770 DOWNING STREET,Niskayuna,12309,Copper,Copper
771 DOWNING STREET,Niskayuna,12309,Copper,Copper
775 DOWNING STREET,Niskayuna,12309,Copper,Copper
778 DOWNING STREET,Niskayuna,12309,Copper,Copper
779 DOWNING STREET,Niskayuna,12309,Copper,Copper
782 DOWNING STREET,Niskayuna,12309,Copper,Copper
783 DOWNING STREET,Niskayuna,12309,Copper,Copper
786 DOWNING STREET,Niskayuna,12309,Copper,Copper
787 DOWNING STREET,Niskayuna,12309,Copper,Copper
788 DOWNING STREET,Niskayuna,12309,Copper,Copper
794 DOWNING STREET,Niskayuna,12309,Copper,Copper
795 DOWNING STREET,Niskayuna,12309,Copper,Copper
798 DOWNING STREET,Niskayuna,12309,Copper,Copper
799 DOWNING STREET,Niskayuna,12309,Copper,Copper
802 DOWNING STREET,Niskayuna,12309,Copper,Copper
803 DOWNING STREET,Niskayuna,12309,Copper,Copper
806 DOWNING STREET,Niskayuna,12309,Copper,Copper
808 DOWNING STREET,Niskayuna,12309,Copper,Copper
811 DOWNING STREET,Niskayuna,12309,Copper,Copper
815 DOWNING STREET,Niskayuna,12309,Copper,Copper
819 DOWNING STREET,Niskayuna,12309,Copper,Copper
823 DOWNING STREET,Niskayuna,12309,Copper,Copper
826 DOWNING STREET,Niskayuna,12309,Copper,Copper
827 DOWNING STREET,Niskayuna,12309,Copper,Copper
830 DOWNING STREET,Niskayuna,12309,Copper,Copper
831 DOWNING STREET,Niskayuna,12309,Copper,Copper
834 DOWNING STREET,Niskayuna,12309,Copper,Copper
835 DOWNING STREET,Niskayuna,12309,Copper,Copper
838 DOWNING STREET,Niskayuna,12309,Copper,Copper
839 DOWNING STREET,Niskayuna,12309,Copper,Copper
842 DOWNING STREET,Niskayuna,12309,Copper,Copper
846 DOWNING STREET,Niskayuna,12309,Copper,Copper
2423 DRISCOLL PLACE,Niskayuna,12309,Unknown,Unknown
10 DUBLIN DRIVE,Niskayuna,12309,Copper,Copper
14 DUBLIN DRIVE,Niskayuna,12309,Copper,Copper
17 DUBLIN DRIVE,Niskayuna,12309,Copper,Copper
18 DUBLIN DRIVE,Niskayuna,12309,Copper,Copper
21 DUBLIN DRIVE,Niskayuna,12309,Copper,Copper
22 DUBLIN DRIVE,Niskayuna,12309,Copper,Copper
25 DUBLIN DRIVE,Niskayuna,12309,Copper,Copper
26 DUBLIN DRIVE,Niskayuna,12309,Copper,Copper
29 DUBLIN DRIVE,Niskayuna,12309,Copper,Copper
34 DUBLIN DRIVE,Niskayuna,12309,Copper,Copper
37 DUBLIN DRIVE,Niskayuna,12309,Copper,Copper
41 DUBLIN DRIVE,Niskayuna,12309,Copper,Copper
44 DUBLIN DRIVE,Niskayuna,12309,Copper,Copper
45 DUBLIN DRIVE,Niskayuna,12309,Copper,Copper
48 DUBLIN DRIVE,Niskayuna,12309,Copper,Copper
49 DUBLIN DRIVE,Niskayuna,12309,Copper,Copper
52 DUBLIN DRIVE,Niskayuna,12309,Copper,Copper
53 DUBLIN DRIVE,Niskayuna,12309,Copper,Copper
57 DUBLIN DRIVE,Niskayuna,12309,Copper,Copper
61 DUBLIN DRIVE,Niskayuna,12309,Copper,Copper
62 DUBLIN DRIVE,Niskayuna,12309,Copper,Copper
66 DUBLIN DRIVE,Niskayuna,12309,Copper,Copper
69 DUBLIN DRIVE,Niskayuna,12309,Copper,Copper
70 DUBLIN DRIVE,Niskayuna,12309,Copper,Copper
73 DUBLIN DRIVE,Niskayuna,12309,Copper,Copper
74 DUBLIN DRIVE,Niskayuna,12309,Copper,Copper
2439 DURHAM PATH,Niskayuna,12309,Copper,Copper
2442 DURHAM PATH,Niskayuna,12309,Copper,Copper
2444 DURHAM PATH,Niskayuna,12309,Copper,Copper
1 DYNAMO COURT,Niskayuna,12309,Copper,Copper
2 DYNAMO COURT,Niskayuna,12309,Copper,Copper
5 DYNAMO COURT,Niskayuna,12309,Copper,Copper
6 DYNAMO COURT,Niskayuna,12309,Copper,Copper
9 DYNAMO COURT,Niskayuna,12309,Copper,Copper
10 DYNAMO COURT,Niskayuna,12309,Copper,Copper
27 EAST STREET,Niskayuna,12309,Copper,Copper
29 EAST STREET,Niskayuna,12309,Copper,Copper
33 EAST STREET,Niskayuna,12309,Copper,Copper
34 EAST STREET,Niskayuna,12309,Copper,Copper
39 EAST STREET,Niskayuna,12309,Copper,Copper
41 EAST STREET,Niskayuna,12309,Copper,Copper
45 EAST STREET,Niskayuna,12309,Copper,Copper
52 EAST STREET,Niskayuna,12309,Copper,Copper
66 EAST STREET,Niskayuna,12309,Copper,Copper
67 EAST STREET,Niskayuna,12309,Copper,Copper
288 EAST STREET,Niskayuna,12309,Copper,Copper
2141 EASTERN PARKWAY,Niskayuna,12309,Unknown,Unknown
2154 EASTERN PARKWAY,Niskayuna,12309,Unknown,Unknown
2158 EASTERN PARKWAY,Niskayuna,12309,Unknown,Unknown
2164 EASTERN PARKWAY,Niskayuna,12309,Unknown,Unknown
2168 EASTERN PARKWAY,Niskayuna,12309,Unknown,Unknown
2174 EASTERN PARKWAY,Niskayuna,12309,Unknown,Unknown
2195 EASTERN PARKWAY,Niskayuna,12309,Unknown,Unknown
2200 EASTERN PARKWAY,Niskayuna,12309,Unknown,Unknown
2215 EASTERN PARKWAY,Niskayuna,12309,Unknown,Unknown
2218 EASTERN PARKWAY,Niskayuna,12309,Unknown,Unknown
2221 EASTERN PARKWAY,Niskayuna,12309,Unknown,Copper
2223 EASTERN PARKWAY,Niskayuna,12309,Unknown,Copper
2225 EASTERN PARKWAY,Niskayuna,12309,Unknown,Unknown
2229 EASTERN PARKWAY,Niskayuna,12309,Unknown,Unknown
2481 EASTERN PARKWAY,Niskayuna,12309,Unknown,Unknown
2482 EASTERN PARKWAY,Niskayuna,12309,Unknown,Unknown
2485 EASTERN PARKWAY,Niskayuna,12309,Unknown,Unknown
2486 EASTERN PARKWAY,Niskayuna,12309,Unknown,Unknown
2489 EASTERN PARKWAY,Niskayuna,12309,Unknown,Unknown
2490 EASTERN PARKWAY,Niskayuna,12309,Unknown,Unknown
2505 EASTERN PARKWAY,Niskayuna,12309,Unknown,Unknown
2506 EASTERN PARKWAY,Niskayuna,12309,Unknown,Copper
2508 EASTERN PARKWAY,Niskayuna,12309,Unknown,Unknown
2512 EASTERN PARKWAY,Niskayuna,12309,Unknown,Unknown
2517 EASTERN PARKWAY,Niskayuna,12309,Unknown,Copper
2525 EASTERN PARKWAY,Niskayuna,12309,Unknown,Unknown
2147 EASTERN PARKWAY,Niskayuna,12309,Unknown,Unknown
10 EDISON DRIVE,Niskayuna,12309,Copper,Copper
11 EDISON DRIVE,Niskayuna,12309,Copper,Copper
14 EDISON DRIVE,Niskayuna,12309,Copper,Copper
15 EDISON DRIVE,Niskayuna,12309,Copper,Copper
22 EDISON DRIVE,Niskayuna,12309,Copper,Copper
26 EDISON DRIVE,Niskayuna,12309,Copper,Copper
27 EDISON DRIVE,Niskayuna,12309,Copper,Copper
30 EDISON DRIVE,Niskayuna,12309,Copper,Copper
34 EDISON DRIVE,Niskayuna,12309,Copper,Copper
39 EDISON DRIVE,Niskayuna,12309,Copper,Copper
43 EDISON DRIVE,Niskayuna,12309,Copper,Copper
46 EDISON DRIVE,Niskayuna,12309,Copper,Copper
47 EDISON DRIVE,Niskayuna,12309,Copper,Copper
50 EDISON DRIVE,Niskayuna,12309,Copper,Copper
51 EDISON DRIVE,Niskayuna,12309,Copper,Copper
21 EMPIRE DRIVE,Niskayuna,12309,Copper,Copper
24 EMPIRE DRIVE,Niskayuna,12309,Copper,Copper
25 EMPIRE DRIVE,Niskayuna,12309,Copper,Copper
28 EMPIRE DRIVE,Niskayuna,12309,Copper,Copper
29 EMPIRE DRIVE,Niskayuna,12309,Copper,Copper
32 EMPIRE DRIVE,Niskayuna,12309,Copper,Copper
33 EMPIRE DRIVE,Niskayuna,12309,Copper,Copper
36 EMPIRE DRIVE,Niskayuna,12309,Copper,Copper
37 EMPIRE DRIVE,Niskayuna,12309,Copper,Copper
40 EMPIRE DRIVE,Niskayuna,12309,Copper,Copper
41 EMPIRE DRIVE,Niskayuna,12309,Copper,Copper
44 EMPIRE DRIVE,Niskayuna,12309,Copper,Copper
45 EMPIRE DRIVE,Niskayuna,12309,Copper,Copper
48 EMPIRE DRIVE,Niskayuna,12309,Copper,Copper
49 EMPIRE DRIVE,Niskayuna,12309,Copper,Copper
52 EMPIRE DRIVE,Niskayuna,12309,Copper,Copper
53 EMPIRE DRIVE,Niskayuna,12309,Copper,Copper
56 EMPIRE DRIVE,Niskayuna,12309,Copper,Copper
57 EMPIRE DRIVE,Niskayuna,12309,Copper,Copper
60 EMPIRE DRIVE,Niskayuna,12309,Copper,Copper
61 EMPIRE DRIVE,Niskayuna,12309,Copper,Copper
64 EMPIRE DRIVE,Niskayuna,12309,Copper,Copper
65 EMPIRE DRIVE,Niskayuna,12309,Copper,Copper
68 EMPIRE DRIVE,Niskayuna,12309,Copper,Copper
69 EMPIRE DRIVE,Niskayuna,12309,Copper,Copper
72 EMPIRE DRIVE,Niskayuna,12309,Copper,Copper
73 EMPIRE DRIVE,Niskayuna,12309,Copper,Copper
76 EMPIRE DRIVE,Niskayuna,12309,Copper,Copper
77 EMPIRE DRIVE,Niskayuna,12309,Copper,Copper
80 EMPIRE DRIVE,Niskayuna,12309,Copper,Copper
81 EMPIRE DRIVE,Niskayuna,12309,Copper,Copper
84 EMPIRE DRIVE,Niskayuna,12309,Copper,Copper
85 EMPIRE DRIVE,Niskayuna,12309,Copper,Copper
89 EMPIRE DRIVE,Niskayuna,12309,Copper,Copper
93 EMPIRE DRIVE,Niskayuna,12309,Copper,Copper
97 EMPIRE DRIVE,Niskayuna,12309,Copper,Copper
101 EMPIRE DRIVE,Niskayuna,12309,Copper,Copper
2514 ENGLEWOOD AVENUE,Niskayuna,12309,Copper,Copper
2515 ENGLEWOOD AVENUE,Niskayuna,12309,Copper,Unknown
2516 ENGLEWOOD AVENUE,Niskayuna,12309,Copper,Unknown
2517 ENGLEWOOD AVENUE,Niskayuna,12309,Copper,Unknown
2523 ENGLEWOOD AVENUE,Niskayuna,12309,Copper,Unknown
2531 ENGLEWOOD AVENUE,Niskayuna,12309,Copper,Unknown
2532 ENGLEWOOD AVENUE,Niskayuna,12309,Copper,Unknown
2 ESPEN PLACE,Niskayuna,12309,Copper,Copper
5 ESPEN PLACE,Niskayuna,12309,Copper,Copper
9 ESPEN PLACE,Niskayuna,12309,Copper,Copper
11 ESPEN PLACE,Niskayuna,12309,Copper,Copper
15 ESPEN PLACE,Niskayuna,12309,Copper,Copper
18 ESPEN PLACE,Niskayuna,12309,Copper,Copper
22 ESPEN PLACE,Niskayuna,12309,Copper,Copper
24 ESPEN PLACE,Niskayuna,12309,Copper,Copper
26 ESPEN PLACE,Niskayuna,12309,Copper,Copper
28 ESPEN PLACE,Niskayuna,12309,Copper,Copper
446 FAGAN AVENUE,Niskayuna,12304,Plastic,Plastic
17 FAGAN AVENUE SOUTH,Niskayuna,12304,Unknown,Unknown
26 FAGAN AVENUE SOUTH,Niskayuna,12304,Copper,Copper
33 FAGAN AVENUE SOUTH,Niskayuna,12304,Unknown,Unknown
41 FAGAN AVENUE SOUTH,Niskayuna,12304,Unknown,Unknown
62 FAIRFAX AVE LLC,Niskayuna,12304,Unknown,Unknown
2 FAIRFAX AVENUE,Niskayuna,12304,Unknown,Unknown
21 FAIRFAX AVENUE,Niskayuna,12304,Unknown,Unknown
25 FAIRFAX AVENUE,Niskayuna,12304,Unknown,Copper
26 FAIRFAX AVENUE,Niskayuna,12304,Unknown,Unknown
30 FAIRFAX AVENUE,Niskayuna,12304,Unknown,Unknown
33 FAIRFAX AVENUE,Niskayuna,12304,Unknown,Unknown
34 FAIRFAX AVENUE,Niskayuna,12304,Unknown,Unknown
38 FAIRFAX AVENUE,Niskayuna,12304,Unknown,Unknown
41 FAIRFAX AVENUE,Niskayuna,12304,Unknown,Unknown
45 FAIRFAX AVENUE,Niskayuna,12304,Unknown,Unknown
50 FAIRFAX AVENUE,Niskayuna,12304,Unknown,Copper
65 FAIRFAX AVENUE,Niskayuna,12304,Unknown,Unknown
101 FAIRFAX AVENUE,Niskayuna,12304,Unknown,Unknown
106 FAIRFAX AVENUE,Niskayuna,12304,Unknown,Unknown
108 FAIRFAX AVENUE,Niskayuna,12304,Unknown,Unknown
109 FAIRFAX AVENUE,Niskayuna,12304,Unknown,Copper
112 FAIRFAX AVENUE,Niskayuna,12304,Unknown,Unknown
113 FAIRFAX AVENUE,Niskayuna,12304,Unknown,Unknown
202 FAIRFAX AVENUE,Niskayuna,12304,Unknown,Unknown
206 FAIRFAX AVENUE,Niskayuna,12304,Known Other,Known Other
212 FAIRFAX AVENUE,Niskayuna,12304,Unknown,Unknown
213 FAIRFAX AVENUE,Niskayuna,12304,Unknown,Unknown
221 FAIRFAX AVENUE,Niskayuna,12304,Unknown,Unknown
222 FAIRFAX AVENUE,Niskayuna,12304,Unknown,Unknown
225 FAIRFAX AVENUE,Niskayuna,12304,Unknown,Unknown
58 FAIRFAX AVENUE,Niskayuna,12304,Unknown,Unknown
62 FAIRFAX AVENUE,Niskayuna,12304,Unknown,Unknown
2000 FAIRLAWN PARKWAY,Niskayuna,12309,Unknown,Unknown
2010 FAIRLAWN PARKWAY,Niskayuna,12309,Unknown,Unknown
2011 FAIRLAWN PARKWAY,Niskayuna,12309,Unknown,Unknown
2014 FAIRLAWN PARKWAY,Niskayuna,12309,Unknown,Copper
2015 FAIRLAWN PARKWAY,Niskayuna,12309,Unknown,Unknown
2022 FAIRLAWN PARKWAY,Niskayuna,12309,Unknown,Copper
2023 FAIRLAWN PARKWAY,Niskayuna,12309,Unknown,Unknown
2026 FAIRLAWN PARKWAY,Niskayuna,12309,Unknown,Unknown
2027 FAIRLAWN PARKWAY,Niskayuna,12309,Unknown,Unknown
2030 FAIRLAWN PARKWAY,Niskayuna,12309,Unknown,Unknown
2202 FAIRLAWN PARKWAY,Niskayuna,12309,Unknown,Copper
2208 FAIRLAWN PARKWAY,Niskayuna,12309,Unknown,Unknown
2209 FAIRLAWN PARKWAY,Niskayuna,12309,Unknown,Copper
2212 FAIRLAWN PARKWAY,Niskayuna,12309,Unknown,Unknown
2213 FAIRLAWN PARKWAY,Niskayuna,12309,Unknown,Unknown
2220 FAIRLAWN PARKWAY,Niskayuna,12309,Unknown,Copper
2221 FAIRLAWN PARKWAY,Niskayuna,12309,Unknown,Unknown
2228 FAIRLAWN PARKWAY,Niskayuna,12309,Unknown,Copper
2229 FAIRLAWN PARKWAY,Niskayuna,12309,Unknown,Unknown
2232 FAIRLAWN PARKWAY,Niskayuna,12309,Unknown,Unknown
2233 FAIRLAWN PARKWAY,Niskayuna,12309,Unknown,Unknown
1100 FERNWOOD DRIVE,Niskayuna,12309,Unknown,Unknown
1111 FERNWOOD DRIVE,Niskayuna,12309,Unknown,Unknown
1112 FERNWOOD DRIVE,Niskayuna,12309,Unknown,Unknown
1115 FERNWOOD DRIVE,Niskayuna,12309,Unknown,Copper
1116 FERNWOOD DRIVE,Niskayuna,12309,Unknown,Unknown
1125 FERNWOOD DRIVE,Niskayuna,12309,Unknown,Unknown
1129 FERNWOOD DRIVE,Niskayuna,12309,Unknown,Unknown
1137 FERNWOOD DRIVE,Niskayuna,12309,Unknown,Unknown
1139 FERNWOOD DRIVE,Niskayuna,12309,Unknown,Unknown
1140 FERNWOOD DRIVE,Niskayuna,12309,Unknown,Unknown
1145 FERNWOOD DRIVE,Niskayuna,12309,Unknown,Copper
1146 FERNWOOD DRIVE,Niskayuna,12309,Unknown,Unknown
1151 FERNWOOD DRIVE,Niskayuna,12309,Unknown,Copper
1163 FERNWOOD DRIVE,Niskayuna,12309,Unknown,Unknown
1164 FERNWOOD DRIVE,Niskayuna,12309,Unknown,Unknown
1167 FERNWOOD DRIVE,Niskayuna,12309,Unknown,Unknown
1168 FERNWOOD DRIVE,Niskayuna,12309,Unknown,Unknown
1171 FERNWOOD DRIVE,Niskayuna,12309,Unknown,Copper
1175 FERNWOOD DRIVE,Niskayuna,12309,Unknown,Copper
1176 FERNWOOD DRIVE,Niskayuna,12309,Unknown,Copper
1179 FERNWOOD DRIVE,Niskayuna,12309,Unknown,Copper
1183 FERNWOOD DRIVE,Niskayuna,12309,Unknown,Unknown
1184 FERNWOOD DRIVE,Niskayuna,12309,Unknown,Unknown
1187 FERNWOOD DRIVE,Niskayuna,12309,Unknown,Unknown
1191 FERNWOOD DRIVE,Niskayuna,12309,Unknown,Unknown
1195 FERNWOOD DRIVE,Niskayuna,12309,Unknown,Copper
1199 FERNWOOD DRIVE,Niskayuna,12309,Unknown,Copper
1203 FERNWOOD DRIVE,Niskayuna,12309,Unknown,Unknown
1204 FERNWOOD DRIVE,Niskayuna,12309,Unknown,Unknown
1207 FERNWOOD DRIVE,Niskayuna,12309,Unknown,Unknown
316 FERRIS ROAD,Niskayuna,12304,Unknown,Unknown
320 FERRIS ROAD,Niskayuna,12304,Unknown,Unknown
324 FERRIS ROAD,Niskayuna,12304,Unknown,Unknown
325 FERRIS ROAD,Niskayuna,12304,Unknown,Copper
332 FERRIS ROAD,Niskayuna,12304,Unknown,Unknown
333 FERRIS ROAD,Niskayuna,12304,Unknown,Unknown
339 FERRIS ROAD,Niskayuna,12304,Unknown,Unknown
344 FERRIS ROAD,Niskayuna,12304,Unknown,Unknown
346 FERRIS ROAD,Niskayuna,12304,Unknown,Unknown
350 FERRIS ROAD,Niskayuna,12304,Unknown,Unknown
351 FERRIS ROAD,Niskayuna,12304,Copper,Copper
358 FERRIS ROAD,Niskayuna,12304,Unknown,Unknown
359 FERRIS ROAD,Niskayuna,12304,Unknown,Unknown
362 FERRIS ROAD,Niskayuna,12304,Unknown,Unknown
379 FERRIS ROAD,Niskayuna,12304,Unknown,Unknown
500 FERRIS ROAD,Niskayuna,12304,Unknown,Unknown
508 FERRIS ROAD,Niskayuna,12304,Unknown,Unknown
354 FERRIS ROAD,Niskayuna,12304,Unknown,Unknown
111 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
113 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
114 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
115 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
116 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
117 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
118 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
119 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
120 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
121 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
122 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
123 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
124 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
125 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
126 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
127 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
128 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
129 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
130 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
131 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
132 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
133 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
134 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
135 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
136 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
137 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
138 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
139 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
140 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
141 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
142 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
143 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
144 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
145 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
146 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
147 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
148 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
149 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
150 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
151 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
152 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
153 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
154 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
155 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
156 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
157 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
158 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
159 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
160 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
161 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
162 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
163 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
164 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
165 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
166 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
167 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
168 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
169 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
170 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
171 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
172 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
173 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
174 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
175 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
176 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
177 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
178 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
179 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
180 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
181 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
182 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
183 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
184 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
185 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
186 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
187 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
188 FIELDSTONE DRIVE,Niskayuna,12304,Copper,Copper
191 FILLMORE AVENUE,Niskayuna,12304,Unknown,Unknown
195 FILLMORE AVENUE,Niskayuna,12304,Unknown,Copper
197 FILLMORE AVENUE,Niskayuna,12304,Unknown,Unknown
208 FILLMORE AVENUE,Niskayuna,12304,Unknown,Unknown
211 FILLMORE AVENUE,Niskayuna,12304,Unknown,Unknown
212 FILLMORE AVENUE,Niskayuna,12304,Unknown,Unknown
223 FILLMORE AVENUE,Niskayuna,12304,Unknown,Unknown
224 FILLMORE AVENUE,Niskayuna,12304,Unknown,Copper
225 FILLMORE AVENUE,Niskayuna,12304,Unknown,Copper
229 FILLMORE AVENUE,Niskayuna,12304,Unknown,Unknown
241 FILLMORE AVENUE,Niskayuna,12304,Unknown,Unknown
334 FILLMORE AVENUE,Niskayuna,12304,Unknown,Copper
339 FILLMORE AVENUE,Niskayuna,12304,Unknown,Unknown
342 FILLMORE AVENUE,Niskayuna,12304,Unknown,Unknown
346 FILLMORE AVENUE,Niskayuna,12304,Unknown,Unknown
351 FILLMORE AVENUE,Niskayuna,12304,Unknown,Copper
398 FILLMORE AVENUE,Niskayuna,12304,Unknown,Copper
402 FILLMORE AVENUE,Niskayuna,12304,Unknown,Unknown
414 FILLMORE AVENUE,Niskayuna,12304,Unknown,Unknown
423 FILLMORE AVENUE,Niskayuna,12304,Unknown,Unknown
426 FILLMORE AVENUE,Niskayuna,12304,Unknown,Unknown
427 FILLMORE AVENUE,Niskayuna,12304,Unknown,Unknown
429 FILLMORE AVENUE,Niskayuna,12304,Unknown,Unknown
434 FILLMORE AVENUE,Niskayuna,12304,Unknown,Unknown
509 FILLMORE AVENUE,Niskayuna,12304,Unknown,Unknown
510 FILLMORE AVENUE,Niskayuna,12304,Unknown,Unknown
537 FILLMORE AVENUE,Niskayuna,12304,Unknown,Unknown
541 FILLMORE AVENUE,Niskayuna,12304,Unknown,Copper
561 FILLMORE AVENUE,Niskayuna,12304,Unknown,Unknown
591 FILLMORE AVENUE,Niskayuna,12304,Unknown,Copper
605 FILLMORE AVENUE,Niskayuna,12304,Unknown,Unknown
613 FILLMORE AVENUE,Niskayuna,12304,Unknown,Unknown
623 FILLMORE AVENUE,Niskayuna,12304,Unknown,Unknown
633 FILLMORE AVENUE,Niskayuna,12304,Unknown,Unknown
653 FILLMORE AVENUE,Niskayuna,12304,Unknown,Copper
655 FILLMORE AVENUE,Niskayuna,12304,Unknown,Unknown
216 FILLMORE AVENUE,Niskayuna,12304,Unknown,Unknown
1 FLOWER HILL,Niskayuna,12309,Copper,Copper
2 FLOWER HILL,Niskayuna,12309,Copper,Copper
3 FLOWER HILL,Niskayuna,12309,Copper,Copper
5 FLOWER HILL,Niskayuna,12309,Copper,Copper
6 FLOWER HILL,Niskayuna,12309,Copper,Copper
7 FLOWER HILL,Niskayuna,12309,Copper,Copper
8 FLOWER HILL,Niskayuna,12309,Copper,Copper
9 FLOWER HILL,Niskayuna,12309,Copper,Copper
10 FLOWER HILL,Niskayuna,12309,Copper,Copper
11 FLOWER HILL,Niskayuna,12309,Copper,Copper
