street address,town,zip,road side,private side
2134 ALEXIS AVENUE,Niskayuna,12309,Copper,Copper
2135 ALEXIS AVENUE,Niskayuna,12309,Copper,Copper
2139 ALEXIS AVENUE,Niskayuna,12309,Copper,Copper
2143 ALEXIS AVENUE,Niskayuna,12309,Copper,Copper
2144 ALEXIS AVENUE,Niskayuna,12309,Copper,Copper
2147 ALEXIS AVENUE,Niskayuna,12309,Copper,Copper
925 ALGONQUIN ROAD,Niskayuna,12309,Unknown,Unknown
929 ALGONQUIN ROAD,Niskayuna,12309,Unknown,Unknown
933 ALGONQUIN ROAD,Niskayuna,12309,Unknown,Copper
937 ALGONQUIN ROAD,Niskayuna,12309,Unknown,Unknown
941 ALGONQUIN ROAD,Niskayuna,12309,Unknown,Unknown
944 ALGONQUIN ROAD,Niskayuna,12309,Unknown,Unknown
948 ALGONQUIN ROAD,Niskayuna,12309,Unknown,Copper
952 ALGONQUIN ROAD,Niskayuna,12309,Unknown,Unknown
2242 ALGONQUIN ROAD,Niskayuna,12309,Unknown,Copper
2243 ALGONQUIN ROAD,Niskayuna,12309,Unknown,Unknown
2246 ALGONQUIN ROAD,Niskayuna,12309,Unknown,Copper
2247 ALGONQUIN ROAD,Niskayuna,12309,Copper,Copper
2250 ALGONQUIN ROAD,Niskayuna,12309,Copper,Copper
2251 ALGONQUIN ROAD,Niskayuna,12309,Copper,Copper
2254 ALGONQUIN ROAD,Niskayuna,12309,Unknown,Unknown
2255 ALGONQUIN ROAD,Niskayuna,12309,Unknown,Unknown
2259 ALGONQUIN ROAD,Niskayuna,12309,Unknown,Unknown
2267 ALGONQUIN ROAD,Niskayuna,12309,Unknown,Unknown
2275 ALGONQUIN ROAD,Niskayuna,12309,Unknown,Unknown
2283 ALGONQUIN ROAD,Niskayuna,12309,Unknown,Copper
2304 ALGONQUIN ROAD,Niskayuna,12309,Unknown,Unknown
2305 ALGONQUIN ROAD,Niskayuna,12309,Unknown,Unknown
2311 ALGONQUIN ROAD,Niskayuna,12309,Unknown,Copper
2314 ALGONQUIN ROAD,Niskayuna,12309,Unknown,Copper
2319 ALGONQUIN ROAD,Niskayuna,12309,Unknown,Unknown
2322 ALGONQUIN ROAD,Niskayuna,12309,Unknown,Unknown
2329 ALGONQUIN ROAD,Niskayuna,12309,Unknown,Unknown
2331 ALGONQUIN ROAD,Niskayuna,12309,Unknown,Unknown
2337 ALGONQUIN ROAD,Niskayuna,12309,Unknown,Copper
2342 ALGONQUIN ROAD,Niskayuna,12309,Unknown,Unknown
2346 ALGONQUIN ROAD,Niskayuna,12309,Unknown,Copper
2347 ALGONQUIN ROAD,Niskayuna,12309,Unknown,Copper
2350 ALGONQUIN ROAD,Niskayuna,12309,Unknown,Unknown
2351 ALGONQUIN ROAD,Niskayuna,12309,Unknown,Unknown
2356 ALGONQUIN ROAD,Niskayuna,12309,Unknown,Unknown
2361 ALGONQUIN ROAD,Niskayuna,12309,Unknown,Unknown
2365 ALGONQUIN ROAD,Niskayuna,12309,Unknown,Copper
2366 ALGONQUIN ROAD,Niskayuna,12309,Unknown,Unknown
2369 ALGONQUIN ROAD,Niskayuna,12309,Unknown,Copper
2370 ALGONQUIN ROAD,Niskayuna,12309,Unknown,Unknown
2375 ALGONQUIN ROAD,Niskayuna,12309,Unknown,Unknown
2381 ALGONQUIN ROAD,Niskayuna,12309,Unknown,Unknown
2382 ALGONQUIN ROAD,Niskayuna,12309,Unknown,Unknown
2383 ALGONQUIN ROAD,Niskayuna,12309,Unknown,Copper
2386 ALGONQUIN ROAD,Niskayuna,12309,Unknown,Unknown
2389 ALGONQUIN ROAD,Niskayuna,12309,Unknown,Copper
1 ALICE WAGNER WAY,Niskayuna,12309,Plastic,Plastic
2 ALICE WAGNER WAY,Niskayuna,12309,Plastic,Plastic
3 ALICE WAGNER WAY,Niskayuna,12309,Plastic,Plastic
4 ALICE WAGNER WAY,Niskayuna,12309,Plastic,Plastic
5 ALICE WAGNER WAY,Niskayuna,12309,Plastic,Plastic
6 ALICE WAGNER WAY,Niskayuna,12309,Plastic,Plastic
2209 ALMERIA ROAD,Niskayuna,12309,Unknown,Unknown
2213 ALMERIA ROAD,Niskayuna,12309,Unknown,Unknown
2216 ALMERIA ROAD,Niskayuna,12309,Unknown,Unknown
2220 ALMERIA ROAD,Niskayuna,12309,Unknown,Unknown
2221 ALMERIA ROAD,Niskayuna,12309,Unknown,Copper
2305 ALMERIA ROAD,Niskayuna,12309,Unknown,Unknown
2308 ALMERIA ROAD,Niskayuna,12309,Unknown,Unknown
2309 ALMERIA ROAD,Niskayuna,12309,Unknown,Unknown
2312 ALMERIA ROAD,Niskayuna,12309,Unknown,Copper
2313 ALMERIA ROAD,Niskayuna,12309,Unknown,Unknown
2316 ALMERIA ROAD,Niskayuna,12309,Unknown,Unknown
2324 ALMERIA ROAD,Niskayuna,12309,Unknown,Unknown
2328 ALMERIA ROAD,Niskayuna,12309,Unknown,Unknown
2332 ALMERIA ROAD,Niskayuna,12309,Unknown,Unknown
2336 ALMERIA ROAD,Niskayuna,12309,Unknown,Unknown
2340 ALMERIA ROAD,Niskayuna,12309,Unknown,Copper
2341 ALMERIA ROAD,Niskayuna,12309,Unknown,Unknown
2345 ALMERIA ROAD,Niskayuna,12309,Unknown,Unknown
